"Symbol","Description","Day Chng $ (Day Change $)","Day Chng % (Day Change %)","Price Chng $ (Price Change $)","Price Chng % (Price Change %)","Price","Cost/Share","Gain $ (Gain/Loss $)","Gain % (Gain/Loss %)","52 Wk High (52 Week High)","Qty (Quantity)","Cost Basis","52 Wk Low (52 Week Low)","P/E Ratio (Price/Earnings Ratio)","Last Div (Last Dividend)","Margin Req (Margin Requirement)","Asset Type",
"AMZN","AMAZON.COM INC","-$93.00","-0.89%","-1.86","-0.89%","207.67","$139.26","$3,420.30","49.12%","$258.60","50","$6,963.20","$161.38","29.22","N/A","$3,115.00","Equity",
"DELL","DELL TECHNOLOGIES INC CLASS CLASS C","$85.50","1.14%","1.71","1.14%","151.62","$123.91","$1,385.75","22.37%","$168.08","50","$6,195.25","$66.25","17.27","0.63","$2,274.00","Equity",
"GTLB","GITLAB INC CLASS A","-$5.20","-0.57%","-0.13","-0.57%","22.69","$73.66","-$2,038.80","-69.2%","$54.61","40","$2,946.40","$22.40","-67.12","N/A","$363.00","Equity",
"MAR","MARRIOTT INTL INC NEW CLASS CLASS A","-$25.00","-0.79%","-2.50","-0.79%","313.81","$209.00","$1,048.10","50.15%","$370.00","10","$2,090.00","$205.40","33.26","0.67","$941.00","Equity",
"MSFT","MICROSOFT CORP","-$315.50","-1.57%","-6.31","-1.57%","395.55","$336.00","$2,977.50","17.72%","$555.45","50","$16,800.00","$344.79","25.15","0.91","$5,933.00","Equity",
"NVDA","NVIDIA CORP","-$1,445.00","-1.58%","-2.89","-1.58%","180.25","$122.36","$28,943.12","47.31%","$212.19","500","$61,181.88","$86.62","37.38","0.01","$27,038.00","Equity",
"PHM","PULTEGROUP INC","-$25.40","-1.05%","-1.27","-1.05%","119.19","$96.45","$454.90","23.58%","$144.50","20","$1,928.90","$88.07","10.83","0.26","$715.00","Equity",
"TLX","TELIX PHARMACEUTICALS FSPONSORED ADR 1 ADR REPS 1 ORD SHS","-$20.00","-0.51%","-0.04","-0.51%","7.85","$9.75","-$950.00","-19.49%","$20.00","500","$4,875.00","$6.28","-373.93","N/A","$3,925.00","Equity",
"Cash & Cash Investments","--","$0.00","0%","--","--","--","--","--","--","--","--","--","--","--","--","--","Cash and Money Market",
"Account Total","","-$1,843.60","-1.33%","--","--","--","--","$35,240.87","34.22%","--","--","$102,980.63","--","--","--","--","--",
